,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,0,8.83188,50,1,0,157.25416,3,155.66899,0,155.83475,-1,156.67971
1,0,8.83188,50,1,0,157.25416,1,155.66899,0,155.83475,-1,156.67971
2,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
3,0,8.83188,50,1,0,157.25416,13,155.66899,0,155.83475,-1,156.67971
4,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
5,0,8.83188,50,1,0,157.25416,13,155.66899,0,155.83475,-1,156.67971
6,0,8.83188,50,1,0,157.25416,13,155.66899,0,155.83475,-1,156.67971
7,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
8,0,8.83188,50,1,0,157.25416,7,155.66899,0,155.83475,-1,156.67971
9,0,8.83188,50,1,0,157.25416,11,155.66899,0,155.83475,-1,156.67971
10,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
11,0,8.83188,50,1,0,157.25416,8,155.66899,0,155.83475,-1,156.67971
12,0,8.83188,50,1,0,157.25416,12,155.66899,0,155.83475,-1,156.67971
13,0,8.83188,50,1,0,157.25416,4,155.66899,0,155.83475,-1,156.67971
14,0,8.83188,50,1,0,157.25416,15,155.66899,0,155.83475,-1,156.67971
15,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
16,0,8.83188,50,1,0,157.25416,5,155.66899,0,155.83475,-1,156.67971
17,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
18,0,8.83188,50,1,0,157.25416,5,155.66899,0,155.83475,-1,156.67971
19,0,8.83188,50,1,0,157.25416,10,155.66899,0,155.83475,-1,156.67971
20,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
21,0,8.83188,50,1,0,157.25416,10,155.66899,0,155.83475,-1,156.67971
22,0,8.83188,50,1,0,157.25416,11,155.66899,0,155.83475,-1,156.67971
23,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
24,0,8.83188,50,1,0,157.25416,11,155.66899,0,155.83475,-1,156.67971
25,0,8.83188,50,1,0,157.25416,3,155.66899,0,155.83475,-1,156.67971
26,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
27,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
28,0,8.83188,50,1,0,157.25416,7,155.66899,0,155.83475,-1,156.67971
29,0,8.83188,50,1,0,157.25416,17,155.66899,0,155.83475,-1,156.67971
30,0,8.83188,50,1,0,157.25416,8,155.66899,0,155.83475,-1,156.67971
31,0,8.83188,50,1,0,157.25416,16,155.66899,0,155.83475,-1,156.67971
32,0,8.83188,50,1,0,157.25416,0,155.66899,0,155.83475,-1,156.67971
33,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
34,0,8.83188,50,1,0,157.25416,16,155.66899,0,155.83475,-1,156.67971
35,0,8.83188,50,1,0,157.25416,9,155.66899,0,155.83475,-1,156.67971
36,0,8.83188,50,1,0,157.25416,7,155.66899,0,155.83475,-1,156.67971
37,0,8.83188,50,1,0,157.25416,13,155.66899,0,155.83475,-1,156.67971
38,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
39,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
40,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
41,0,8.83188,50,1,0,157.25416,19,155.66899,0,155.83475,-1,156.67971
42,0,8.83188,50,1,0,157.25416,13,155.66899,0,155.83475,-1,156.67971
43,0,8.83188,50,1,0,157.25416,9,155.66899,0,155.83475,-1,156.67971
44,0,8.83188,50,1,0,157.25416,11,155.66899,0,155.83475,-1,156.67971
45,0,8.83188,50,1,0,157.25416,18,155.66899,0,155.83475,-1,156.67971
