,train_loss,train_pur,train_time
0,-280492.8125,0.2562499940395355,142.8014373779297
1,-480932.125,0.25604167580604553,278.1348876953125
2,-549286.25,0.25600001215934753,413.7715759277344
3,-637005.3125,0.25579166412353516,548.4979858398438
4,-761016.9375,0.25583332777023315,683.5332641601562
5,-945764.625,0.2562499940395355,819.5389404296875
6,-1271723.5,0.25341665744781494,955.6280517578125
7,-2117940.75,0.2552083432674408,1091.832763671875
8,-50949364.0,0.25558334589004517,1227.02587890625
9,-299632576.0,0.2554166615009308,1361.97509765625
10,-519154816.0,0.2547916769981384,1497.3892822265625
11,-668393728.0,0.2563333213329315,1632.589111328125
12,-822031168.0,0.2564166784286499,1768.056640625
13,-982196800.0,0.257874995470047,1903.8770751953125
14,-1152259840.0,0.25837498903274536,2038.819580078125
15,-1333809152.0,0.2540833353996277,2174.1533203125
16,-1525953280.0,0.2564583420753479,2309.474853515625
17,-1728557440.0,0.2567916810512543,2444.388916015625
18,-1943048192.0,0.25820833444595337,2579.947509765625
19,-2171046400.0,0.25475001335144043,2715.56787109375
