,cluster_id,time,seqlength,coh_cluster
0,0,7.51402,59,1
1,0,7.51402,48,1
2,0,7.51402,55,1
3,0,7.51402,43,1
4,0,7.51402,50,1
5,0,7.51402,53,1
6,0,7.51402,44,1
7,0,7.51402,62,1
8,0,7.51402,68,1
9,0,7.51402,50,1
10,0,7.51402,49,1
11,0,7.51402,53,1
12,0,7.51402,55,1
13,0,7.51402,46,1
14,0,7.51402,54,1
15,0,7.51402,49,1
16,0,7.51402,58,1
17,0,7.51402,70,1
18,0,7.51402,52,1
19,0,7.51402,61,1
20,0,7.51402,50,1
21,0,7.51402,49,1
22,0,7.51402,59,1
23,0,7.51402,49,1
24,0,7.51402,50,1
25,0,7.51402,51,1
26,0,7.51402,59,1
27,0,7.51402,42,1
28,0,7.51402,59,1
29,0,7.51402,57,1
30,0,7.51402,60,1
31,0,7.51402,63,1
32,0,7.51402,54,1
33,0,7.51402,60,1
34,0,7.51402,54,1
35,0,7.51402,42,1
36,0,7.51402,52,1
37,0,7.51402,51,1
38,0,7.51402,50,1
39,0,7.51402,57,1
40,0,7.51402,46,1
41,0,7.51402,40,1
42,0,7.51402,48,1
43,0,7.51402,58,1
44,0,7.51402,41,1
45,0,7.51402,54,1
46,0,7.51402,63,1
47,0,7.51402,68,1
48,0,7.51402,53,1
49,0,7.51402,53,1
50,0,7.51402,52,1
51,0,7.51402,39,1
52,0,7.51402,58,1
53,0,7.51402,48,1
54,0,7.51402,56,1
55,0,7.51402,47,1
56,0,7.51402,57,1
57,0,7.51402,55,1
58,0,7.51402,51,1
59,0,7.51402,45,1
60,0,7.51402,55,1
61,0,7.51402,50,1
62,0,7.51402,58,1
63,0,7.51402,58,1
64,0,7.51402,48,1
65,0,7.51402,53,1
66,0,7.51402,54,1
67,0,7.51402,49,1
68,0,7.51402,56,1
69,0,7.51402,47,1
70,0,7.51402,46,1
71,0,7.51402,50,1
72,0,7.51402,52,1
73,0,7.51402,63,1
74,0,7.51402,49,1
75,0,7.51402,65,1
76,0,7.51402,61,1
77,0,7.51402,46,1
78,0,7.51402,47,1
79,0,7.51402,62,1
80,0,7.51402,40,1
81,0,7.51402,52,1
82,0,7.51402,46,1
83,0,7.51402,44,1
84,0,7.51402,58,1
85,0,7.51402,50,1
86,0,7.51402,47,1
87,0,7.51402,48,1
88,0,7.51402,56,1
89,0,7.51402,56,1
90,0,7.51402,54,1
91,0,7.51402,45,1
92,0,7.51402,46,1
93,0,7.51402,55,1
94,0,7.51402,56,1
95,0,7.51402,61,1
96,0,7.51402,59,1
97,0,7.51402,47,1
98,0,7.51402,52,1
99,0,7.51402,63,1
100,0,7.51402,48,1
101,0,7.51402,53,1
102,0,7.51402,57,1
103,0,7.51402,53,1
104,0,7.51402,48,1
105,0,7.51402,55,1
106,0,7.51402,57,1
107,0,7.51402,54,1
108,0,7.51402,53,1
109,0,7.51402,49,1
110,0,7.51402,48,1
111,0,7.51402,46,1
112,0,7.51402,58,1
113,0,7.51402,58,1
114,0,7.51402,53,1
115,0,7.51402,48,1
116,0,7.51402,56,1
117,0,7.51402,42,1
118,0,7.51402,63,1
119,0,7.51402,48,1
120,0,7.51402,60,1
121,0,7.51402,59,1
122,0,7.51402,59,1
123,0,7.51402,53,1
124,0,7.51402,57,1
125,0,7.51402,53,1
126,0,7.51402,50,1
127,0,7.51402,44,1
128,0,7.51402,59,1
129,0,7.51402,50,1
130,0,7.51402,47,1
131,0,7.51402,44,1
132,0,7.51402,56,1
133,0,7.51402,53,1
134,0,7.51402,42,1
135,0,7.51402,45,1
136,0,7.51402,46,1
137,0,7.51402,52,1
138,0,7.51402,54,1
139,0,7.51402,38,1
140,0,7.51402,58,1
141,0,7.51402,57,1
142,0,7.51402,57,1
143,0,7.51402,56,1
144,0,7.51402,44,1
145,0,7.51402,65,1
146,0,7.51402,66,1
147,0,7.51402,61,1
148,0,7.51402,57,1
149,0,7.51402,51,1
150,0,7.51402,61,1
151,0,7.51402,42,1
152,0,7.51402,51,1
153,0,7.51402,55,1
154,0,7.51402,42,1
155,0,7.51402,50,1
156,0,7.51402,49,1
157,0,7.51402,52,1
158,0,7.51402,65,1
159,0,7.51402,50,1
160,0,7.51402,46,1
161,0,7.51402,72,1
162,0,7.51402,54,1
163,0,7.51402,66,1
164,0,7.51402,69,1
165,0,7.51402,68,1
166,0,7.51402,49,1
167,0,7.51402,55,1
168,0,7.51402,49,1
169,0,7.51402,50,1
170,0,7.51402,55,1
171,0,7.51402,54,1
172,0,7.51402,60,1
173,0,7.51402,53,1
174,0,7.51402,50,1
175,0,7.51402,55,1
176,0,7.51402,59,1
177,0,7.51402,48,1
178,0,7.51402,50,1
179,0,7.51402,51,1
180,0,7.51402,59,1
181,0,7.51402,49,1
182,0,7.51402,42,1
183,0,7.51402,46,1
184,0,7.51402,48,1
185,0,7.51402,59,1
186,0,7.51402,50,1
187,0,7.51402,53,1
188,0,7.51402,52,1
189,0,7.51402,56,1
190,0,7.51402,67,1
191,0,7.51402,60,1
192,0,7.51402,57,1
193,0,7.51402,54,1
194,0,7.51402,54,1
195,0,7.51402,74,1
196,0,7.51402,46,1
197,0,7.51402,45,1
198,0,7.51402,62,1
199,0,7.51402,58,1
200,0,7.51402,51,1
201,0,7.51402,71,1
202,0,7.51402,51,1
203,0,7.51402,45,1
204,0,7.51402,43,1
205,0,7.51402,51,1
206,0,7.51402,47,1
207,0,7.51402,58,1
208,0,7.51402,49,1
209,0,7.51402,56,1
210,0,7.51402,57,1
