,train_loss,train_pur,train_time
0,9310.2412109375,0.2912308871746063,16.86170768737793
1,1743.43408203125,0.3008849620819092,32.38069152832031
2,-805.3153076171875,0.2823813259601593,48.032203674316406
3,-4285.013671875,0.31053900718688965,63.629180908203125
4,-5810.67138671875,0.3242156207561493,79.34284210205078
5,-6346.0126953125,0.3121480345726013,96.84764862060547
6,-6717.46630859375,0.30008044838905334,112.52674865722656
7,-7013.42626953125,0.3137570321559906,127.94684600830078
8,-7294.50439453125,0.292839914560318,143.50274658203125
9,-7591.7958984375,0.30410298705101013,159.14895629882812
10,-7866.453125,0.2992759346961975,175.87850952148438
11,-8121.017578125,0.2968624234199524,191.5313262939453
12,-8364.8896484375,0.30249395966529846,207.31625366210938
13,-8570.0830078125,0.2952534258365631,222.91241455078125
14,-8719.3544921875,0.30651649832725525,238.60858154296875
15,-8867.7431640625,0.2952534258365631,256.14166259765625
16,-9033.4658203125,0.301689475774765,271.78887939453125
17,-9218.919921875,0.29605790972709656,287.3268737792969
18,-9476.787109375,0.3113435208797455,302.89007568359375
19,-9698.7138671875,0.31295254826545715,318.6170654296875
