purity,created_at
0.245,2021-05-21 18:01:34.679813
0.268,2021-05-21 18:01:37.295309
0.2715,2021-05-21 18:01:39.570800
0.28850000000000003,2021-05-21 18:01:41.761822
0.29050000000000004,2021-05-21 18:01:43.989202
0.28900000000000003,2021-05-21 18:01:46.359722
0.29050000000000004,2021-05-21 18:01:48.989579
0.28300000000000003,2021-05-21 18:01:51.345491
0.2745,2021-05-21 18:01:53.774908
0.2785,2021-05-21 18:01:56.362472
0.2755,2021-05-21 18:01:58.796809
0.274,2021-05-21 18:02:01.131373
0.276,2021-05-21 18:02:03.683191
0.28049999999999997,2021-05-21 18:02:06.242672
0.28200000000000003,2021-05-21 18:02:08.572643
0.28200000000000003,2021-05-21 18:02:10.745072
0.28300000000000003,2021-05-21 18:02:13.137877
0.281,2021-05-21 18:02:15.498065
0.28200000000000003,2021-05-21 18:02:17.968798
0.28200000000000003,2021-05-21 18:02:20.245958
0.28350000000000003,2021-05-21 18:02:22.846400
0.2865,2021-05-21 18:02:25.079952
0.28150000000000003,2021-05-21 18:02:27.398566
0.2795,2021-05-21 18:02:29.710948
0.281,2021-05-21 18:02:32.083923
0.2755,2021-05-21 18:02:34.451902
0.2725,2021-05-21 18:02:36.978361
0.271,2021-05-21 18:02:39.387558
0.265,2021-05-21 18:02:41.850050
0.2655,2021-05-21 18:02:44.447972
0.24600000000000002,2021-05-21 18:02:46.600083
0.28850000000000003,2021-05-21 18:02:48.165278
0.281,2021-05-21 18:02:49.647273
0.281,2021-05-21 18:02:51.215620
0.29150000000000004,2021-05-21 18:02:52.854569
0.2885,2021-05-21 18:02:54.640474
0.28600000000000003,2021-05-21 18:02:56.268950
0.28150000000000003,2021-05-21 18:02:57.748512
0.2795,2021-05-21 18:02:59.362292
0.28400000000000003,2021-05-21 18:03:00.975237
0.28850000000000003,2021-05-21 18:03:02.656844
0.28400000000000003,2021-05-21 18:03:04.277334
0.29100000000000004,2021-05-21 18:03:05.980348
0.29200000000000004,2021-05-21 18:03:07.614681
0.28450000000000003,2021-05-21 18:03:09.241313
0.28700000000000003,2021-05-21 18:03:10.873285
0.28800000000000003,2021-05-21 18:03:12.445896
0.29400000000000004,2021-05-21 18:03:14.053419
0.29350000000000004,2021-05-21 18:03:15.676827
0.29400000000000004,2021-05-21 18:03:17.335117
0.29300000000000004,2021-05-21 18:03:18.997787
0.2925,2021-05-21 18:03:20.702897
0.28750000000000003,2021-05-21 18:03:22.406887
0.28850000000000003,2021-05-21 18:03:24.066198
0.28900000000000003,2021-05-21 18:03:25.681204
0.29150000000000004,2021-05-21 18:03:27.271536
0.28800000000000003,2021-05-21 18:03:28.882125
0.28850000000000003,2021-05-21 18:03:30.558585
0.28350000000000003,2021-05-21 18:03:32.140935
0.28450000000000003,2021-05-21 18:03:33.738166
0.2555,2021-05-21 18:03:36.154526
0.2995,2021-05-21 18:03:37.849079
0.306,2021-05-21 18:03:39.537734
0.29300000000000004,2021-05-21 18:03:41.168096
0.301,2021-05-21 18:03:42.843854
0.2985,2021-05-21 18:03:44.386099
0.3015,2021-05-21 18:03:46.218872
0.29600000000000004,2021-05-21 18:03:47.871424
0.2875,2021-05-21 18:03:49.606233
0.27999999999999997,2021-05-21 18:03:51.267994
0.2815,2021-05-21 18:03:52.877953
0.281,2021-05-21 18:03:54.580259
0.27949999999999997,2021-05-21 18:03:56.259047
0.27449999999999997,2021-05-21 18:03:57.902644
0.268,2021-05-21 18:03:59.537278
0.2625,2021-05-21 18:04:01.114976
0.2575,2021-05-21 18:04:02.783021
0.2585,2021-05-21 18:04:04.442847
0.255,2021-05-21 18:04:06.057126
0.2525,2021-05-21 18:04:07.685128
0.25,2021-05-21 18:04:09.273842
0.2485,2021-05-21 18:04:10.953643
0.247,2021-05-21 18:04:12.588950
0.247,2021-05-21 18:04:14.199217
0.2445,2021-05-21 18:04:15.925234
0.248,2021-05-21 18:04:17.585863
0.23700000000000002,2021-05-21 18:04:19.140409
0.228,2021-05-21 18:04:20.780865
0.22849999999999998,2021-05-21 18:04:22.389762
0.22699999999999998,2021-05-21 18:04:23.998001
0.269,2021-05-21 18:04:26.257292
0.28,2021-05-21 18:04:27.893714
0.2775,2021-05-21 18:04:29.484996
0.29000000000000004,2021-05-21 18:04:31.061855
0.29150000000000004,2021-05-21 18:04:32.763346
0.29400000000000004,2021-05-21 18:04:34.377402
0.3025,2021-05-21 18:04:35.994995
0.2995,2021-05-21 18:04:37.761766
0.30050000000000004,2021-05-21 18:04:39.399900
0.3025,2021-05-21 18:04:40.981141
0.3035,2021-05-21 18:04:42.646956
0.3005,2021-05-21 18:04:46.069021
0.301,2021-05-21 18:04:50.155815
0.296,2021-05-21 18:04:54.256101
0.241,2021-05-21 18:04:58.534637
0.28650000000000003,2021-05-21 18:05:03.055996
0.28600000000000003,2021-05-21 18:05:07.344814
0.29000000000000004,2021-05-21 18:05:11.570019
0.28600000000000003,2021-05-21 18:05:15.951262
0.28950000000000004,2021-05-21 18:05:20.242712
0.28600000000000003,2021-05-21 18:05:24.943012
0.28950000000000004,2021-05-21 18:05:29.629662
