,train_loss,train_pur,train_time
0,-43511.8203125,0.25583332777023315,101.89788055419922
1,-79353.7734375,0.25841665267944336,187.18202209472656
2,-92283.640625,0.2542499899864197,253.31475830078125
3,-123977.1953125,0.2537499964237213,318.977294921875
4,-762428.4375,0.25575000047683716,382.68408203125
5,-1075737.625,0.25704166293144226,447.1399841308594
6,-1650729.875,0.25587499141693115,511.4961853027344
7,-6657110.5,0.2529583275318146,576.2810668945312
8,-33709812.0,0.25983333587646484,640.4686889648438
9,-62337896.0,0.25337499380111694,703.8912963867188
10,-86492792.0,0.2542916536331177,767.2518310546875
11,-102305696.0,0.25716665387153625,831.743896484375
12,-118184544.0,0.25579166412353516,896.8048095703125
13,-134748848.0,0.257916659116745,961.3555297851562
14,-152284688.0,0.25595831871032715,1025.6334228515625
15,-170635504.0,0.2535000145435333,1089.979248046875
16,-189964880.0,0.2555416524410248,1153.60595703125
17,-210157808.0,0.2565416693687439,1217.0389404296875
18,-231213232.0,0.25579166412353516,1280.9442138671875
19,-253271232.0,0.2549166679382324,1344.491943359375
20,-270438368.0,0.25600001215934753,1408.542724609375
21,-282114464.0,0.2562499940395355,1472.9552001953125
22,-293774144.0,0.2553749978542328,1537.0599365234375
23,-305636864.0,0.25587499141693115,1600.809326171875
24,-317745536.0,0.25858333706855774,1664.0770263671875
25,-330026464.0,0.257999986410141,1728.20166015625
26,-342617408.0,0.2552083432674408,1791.85107421875
27,-355413952.0,0.2561666667461395,1855.78369140625
28,-368444320.0,0.2562083303928375,1918.9744873046875
29,-381735808.0,0.2564583420753479,1982.4744873046875
30,-391963264.0,0.25695833563804626,2045.752197265625
31,-398673312.0,0.2562499940395355,2109.0771484375
32,-405448672.0,0.25745832920074463,2171.759521484375
33,-412377632.0,0.25708332657814026,2235.954833984375
34,-419252000.0,0.25304165482521057,2300.036376953125
35,-426124160.0,0.2541666626930237,2363.16455078125
36,-433136256.0,0.2575833201408386,2425.701416015625
37,-440201376.0,0.2542916536331177,2489.319580078125
38,-447279744.0,0.2537916600704193,2552.398193359375
39,-454482432.0,0.2551666796207428,2615.744140625
40,-459867040.0,0.257874995470047,2679.11376953125
41,-463451616.0,0.2588333189487457,2742.50390625
42,-467143232.0,0.2554583251476288,2804.70947265625
43,-470730016.0,0.2552083432674408,2868.141845703125
44,-474376512.0,0.25566667318344116,2931.12060546875
45,-478091808.0,0.25729167461395264,2993.485107421875
46,-481735168.0,0.25591665506362915,3056.31884765625
47,-485531232.0,0.25687500834465027,3119.97607421875
48,-489168256.0,0.2550833225250244,3182.81103515625
49,-492927936.0,0.25850000977516174,3246.2119140625
