,cluster_id,cluster_tslearn
0,0,1
1,0,3
2,0,0
3,0,3
4,0,1
5,0,3
6,0,3
7,0,0
8,0,3
9,0,0
10,0,1
11,0,2
12,0,0
13,0,0
14,0,2
15,0,1
16,0,3
17,0,3
18,0,0
19,0,1
20,0,3
21,0,1
22,0,0
23,0,0
24,0,3
25,0,0
26,0,3
27,0,0
28,0,1
29,0,3
30,0,0
31,0,0
32,0,0
33,0,3
34,0,3
35,0,0
36,0,1
37,0,1
38,0,0
39,0,1
40,0,3
41,0,0
42,0,1
43,0,0
44,0,3
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,2
54,0,1
55,0,2
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,3
62,0,0
63,0,3
64,0,0
65,0,0
66,0,2
67,0,0
68,0,0
69,0,0
70,0,0
71,0,2
72,0,1
73,0,1
74,0,3
75,0,3
76,0,0
77,0,0
78,0,1
79,0,1
80,0,1
81,0,3
82,0,0
83,0,1
84,0,1
85,0,3
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,3
93,0,0
94,0,0
95,0,1
96,0,1
97,0,0
98,0,0
99,0,0
100,0,0
101,0,1
102,0,0
103,0,0
104,0,0
105,0,2
106,0,0
107,0,0
108,0,0
109,0,2
110,0,1
111,0,0
112,0,0
113,0,1
114,0,0
115,0,0
116,0,0
117,0,0
118,0,1
119,0,0
120,0,3
121,0,2
122,0,0
123,0,3
124,0,3
125,0,0
126,0,3
127,0,1
128,0,2
129,0,0
130,0,1
131,0,2
132,0,1
133,0,1
134,0,4
135,0,4
136,0,2
137,0,2
138,0,4
139,0,2
140,0,4
141,0,4
142,0,1
143,0,0
144,0,4
145,0,1
146,0,2
147,0,2
148,0,0
149,0,1
150,0,4
151,0,2
152,0,2
153,0,1
154,0,4
155,0,1
156,0,1
157,0,1
158,0,2
159,0,4
160,0,1
161,0,1
162,0,0
163,0,1
164,0,1
165,0,1
166,0,2
167,0,1
168,0,0
169,0,2
170,0,1
171,0,1
172,0,1
173,0,1
174,0,1
175,0,2
176,0,1
177,0,1
