,train_loss,train_pur,train_time
0,3400.371826171875,0.41354167461395264,2.8471293449401855
1,2099.598388671875,0.4645833373069763,5.5003814697265625
2,422.6044616699219,0.5916666388511658,8.076224327087402
3,-471.2876892089844,0.5729166865348816,10.60579776763916
4,-1011.7322387695312,0.5979166626930237,13.156206130981445
5,-1409.538330078125,0.5979166626930237,15.674054145812988
6,-1732.3106689453125,0.59375,18.18027114868164
7,-2016.0543212890625,0.5760416388511658,20.728694915771484
8,-2340.58447265625,0.59375,23.28179168701172
9,-2651.459716796875,0.5625,25.77731704711914
10,-2798.35205078125,0.5874999761581421,28.340368270874023
11,-2853.2744140625,0.5760416388511658,30.949670791625977
12,-2901.21875,0.5760416388511658,33.4620475769043
13,-2954.0537109375,0.6000000238418579,35.952796936035156
14,-2998.87890625,0.5625,38.51126480102539
15,-3026.263916015625,0.5822916626930237,41.054771423339844
16,-3050.4072265625,0.621874988079071,43.61991500854492
17,-3067.531005859375,0.5625,46.16755294799805
18,-3081.781982421875,0.5625,48.762630462646484
19,-3096.731689453125,0.621874988079071,51.319766998291016
20,-3104.202880859375,0.5874999761581421,53.924522399902344
21,-3111.067138671875,0.5625,56.47077560424805
22,-3117.431884765625,0.5625,58.847129821777344
23,-3121.45703125,0.6083333492279053,61.41400909423828
24,-3125.583251953125,0.6083333492279053,63.92728042602539
