,train_loss,train_pur,train_time
0,-947.4330444335938,0.24937500059604645,21.203367233276367
1,-4913.3515625,0.24812500178813934,41.221046447753906
2,-5117.0693359375,0.24437500536441803,61.10865020751953
3,-5170.47802734375,0.24375000596046448,81.07792663574219
4,-5201.42529296875,0.25999999046325684,100.9457778930664
5,-5231.9130859375,0.23937499523162842,122.0378189086914
6,-5262.71044921875,0.2668749988079071,142.02972412109375
7,-5296.68505859375,0.2524999976158142,162.0346221923828
8,-5370.412109375,0.25312501192092896,182.00067138671875
9,-5557.158203125,0.24187499284744263,201.880615234375
10,-5634.94921875,0.2718749940395355,223.1875
11,-5663.5380859375,0.2668749988079071,243.21499633789062
12,-5685.64892578125,0.2524999976158142,263.2624206542969
13,-5706.96875,0.2581250071525574,283.26220703125
14,-5728.72705078125,0.25312501192092896,303.33465576171875
15,-5751.056640625,0.27125000953674316,324.1882019042969
16,-5774.3095703125,0.2593750059604645,344.132568359375
17,-5799.4013671875,0.26625001430511475,364.12457275390625
18,-5824.96142578125,0.23937499523162842,384.08514404296875
19,-5852.07763671875,0.2368749976158142,403.8460998535156
