,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,0,7.5140199999999995,59,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
1,0,7.5140199999999995,48,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
2,0,7.5140199999999995,55,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
3,0,7.5140199999999995,43,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
4,0,7.5140199999999995,50,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
5,0,7.5140199999999995,53,1,0,152.38261,5,150.78971,0,150.85923,-1,151.78115
6,0,7.5140199999999995,44,1,0,152.38261,18,150.78971,0,150.85923,-1,151.78115
7,0,7.5140199999999995,62,1,0,152.38261,8,150.78971,0,150.85923,-1,151.78115
8,0,7.5140199999999995,68,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
9,0,7.5140199999999995,50,1,0,152.38261,8,150.78971,0,150.85923,-1,151.78115
10,0,7.5140199999999995,49,1,0,152.38261,10,150.78971,0,150.85923,-1,151.78115
11,0,7.5140199999999995,53,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
12,0,7.5140199999999995,55,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
13,0,7.5140199999999995,46,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
14,0,7.5140199999999995,54,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
15,0,7.5140199999999995,49,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
16,0,7.5140199999999995,58,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
17,0,7.5140199999999995,70,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
18,0,7.5140199999999995,52,1,0,152.38261,20,150.78971,0,150.85923,-1,151.78115
19,0,7.5140199999999995,61,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
20,0,7.5140199999999995,50,1,0,152.38261,4,150.78971,0,150.85923,-1,151.78115
21,0,7.5140199999999995,49,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
22,0,7.5140199999999995,59,1,0,152.38261,16,150.78971,0,150.85923,-1,151.78115
23,0,7.5140199999999995,49,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
24,0,7.5140199999999995,50,1,0,152.38261,16,150.78971,0,150.85923,-1,151.78115
25,0,7.5140199999999995,51,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
26,0,7.5140199999999995,59,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
27,0,7.5140199999999995,42,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
28,0,7.5140199999999995,59,1,0,152.38261,4,150.78971,0,150.85923,-1,151.78115
29,0,7.5140199999999995,57,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
30,0,7.5140199999999995,60,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
31,0,7.5140199999999995,63,1,0,152.38261,18,150.78971,0,150.85923,-1,151.78115
32,0,7.5140199999999995,54,1,0,152.38261,5,150.78971,0,150.85923,-1,151.78115
33,0,7.5140199999999995,60,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
34,0,7.5140199999999995,54,1,0,152.38261,2,150.78971,0,150.85923,-1,151.78115
35,0,7.5140199999999995,42,1,0,152.38261,6,150.78971,0,150.85923,-1,151.78115
36,0,7.5140199999999995,52,1,0,152.38261,9,150.78971,0,150.85923,-1,151.78115
37,0,7.5140199999999995,51,1,0,152.38261,5,150.78971,0,150.85923,-1,151.78115
38,0,7.5140199999999995,50,1,0,152.38261,19,150.78971,0,150.85923,-1,151.78115
39,0,7.5140199999999995,57,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
40,0,7.5140199999999995,46,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
41,0,7.5140199999999995,40,1,0,152.38261,7,150.78971,0,150.85923,-1,151.78115
42,0,7.5140199999999995,48,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
43,0,7.5140199999999995,58,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
44,0,7.5140199999999995,41,1,0,152.38261,3,150.78971,0,150.85923,-1,151.78115
45,0,7.5140199999999995,54,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
46,0,7.5140199999999995,63,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
47,0,7.5140199999999995,68,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
48,0,7.5140199999999995,53,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
49,0,7.5140199999999995,53,1,0,152.38261,0,150.78971,0,150.85923,-1,151.78115
50,0,7.5140199999999995,52,1,0,152.38261,10,150.78971,0,150.85923,-1,151.78115
51,0,7.5140199999999995,39,1,0,152.38261,20,150.78971,0,150.85923,-1,151.78115
52,0,7.5140199999999995,58,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
53,0,7.5140199999999995,48,1,0,152.38261,17,150.78971,0,150.85923,-1,151.78115
54,0,7.5140199999999995,56,1,0,152.38261,1,150.78971,0,150.85923,-1,151.78115
55,0,7.5140199999999995,47,1,0,152.38261,12,150.78971,0,150.85923,-1,151.78115
56,0,7.5140199999999995,57,1,0,152.38261,13,150.78971,0,150.85923,-1,151.78115
57,0,7.5140199999999995,55,1,0,152.38261,14,150.78971,0,150.85923,-1,151.78115
58,0,7.5140199999999995,51,1,0,152.38261,10,150.78971,0,150.85923,-1,151.78115
59,0,7.5140199999999995,45,1,0,152.38261,15,150.78971,0,150.85923,-1,151.78115
