purity,created_at
0.60625,2021-05-21 17:49:14.186141
0.71125,2021-05-21 17:49:15.073064
0.91375,2021-05-21 17:49:15.636090
0.89375,2021-05-21 17:49:16.231942
0.90125,2021-05-21 17:49:16.782618
0.9025,2021-05-21 17:49:17.373806
0.87375,2021-05-21 17:49:17.954704
0.84875,2021-05-21 17:49:18.580229
0.8262499999999999,2021-05-21 17:49:19.138639
0.7825,2021-05-21 17:49:19.754203
0.7725,2021-05-21 17:49:20.272924
0.7250000000000001,2021-05-21 17:49:20.942546
0.73875,2021-05-21 17:49:21.487365
0.75,2021-05-21 17:49:21.988327
0.75,2021-05-21 17:49:22.578518
0.7525000000000001,2021-05-21 17:49:23.156708
0.7625,2021-05-21 17:49:23.769657
0.7637499999999999,2021-05-21 17:49:24.303469
0.7650000000000001,2021-05-21 17:49:24.873597
0.7637499999999999,2021-05-21 17:49:25.468447
0.7475,2021-05-21 17:49:25.979566
0.7437499999999999,2021-05-21 17:49:26.553591
0.75375,2021-05-21 17:49:27.047423
0.7549999999999999,2021-05-21 17:49:27.577828
0.74125,2021-05-21 17:49:28.157620
0.74375,2021-05-21 17:49:28.686708
0.7462500000000001,2021-05-21 17:49:29.282480
0.75375,2021-05-21 17:49:29.871580
0.76125,2021-05-21 17:49:30.440297
0.74875,2021-05-21 17:49:30.891339
